"","Post","Average_Severity"
"5887"," how often would you like to go out on datesbra well id wana spend lots of alone time with u dont have to be going out on dates alot just chilling together is good with me",0
"5888"," how old are youbra im  i think lol no forreallies in ",0
"5889"," how old are youbra im  i told you already cant ask the same questions overand over thats cheating lol",0
"5890"," how old were u when u had ur first taste of alcohol what did u think of it i was   and it was beer i hated it my dad gave it to mebra i was  and it was wine mozel i think and it was gross turned me off wine altogether",0
"5891"," how reglious r ubra im religious to a point lol",0
"5892"," how sad is ur life story how happybra my life story is great had a good life good experiences also some bad but i live to be happy and to make people happy ",0
"5893"," how serious are your flirtsbra well depends who im flirting with o say it was you well you my bestie so you know me and i dont think it would be labled as flirting lol",0
"5894"," how sexual are you on a scale of rbra  no sex life at all so sad lmao",0
"5895"," how tall are youbra i think im    lol",0
"5896"," how tall are youbra  i think s i dont knw",0
"5897"," how tall are youbra lol  i told u yesterday lol",0
"5898"," how tini is your bikinibra lmao scott you dork",0
"5899"," how true do you think it is that nomatter where you go there you arebra thats sooooo true cause without you then where would you be lol i know i confussed myself",0
"5900"," how was family daybra still on it im chilling in my room trying to talk to will but he making me mad right now soo ima log out soon",0
"5901"," how weird is thatat dinner  the table next to us were two couples from australiabra and the chik from aussie land that came to work",0
"5902"," how would you define your culturebra kiwis new zealand chill awsum lol",0
"5903"," how would you describe intimacyrbra sexual sensual passionate mind blowing ",0
"5904"," how would you describe the most romantic night of your liferbra something simple like a walk on the broadwalk in the sunset",0
"5905"," how would you describe uchappinessudbra willzzie ",0
"5906"," how would you describe your personality   i took this personality test this one time  and it was totally wrong lmbo bra send me that personality link and id tell you lol",0
"5907"," how would you describe your stylebra crazii sexxii cute",0
"5908"," how would you feel if music disappeard from lifebra wow id be a lost cause music makes the world go roundr r httpwwwyoutubecomwatchvibddnszqf",0
"5909"," how wud ur mate take it if u cheated on them and if they cheated on u how wud u take itbra its never a good thing to cheat i think its just an easy way out of a relationship",0
"5910"," howaposs mista doingbra i dont know havent talked to him this morning dont know where hes gone hes disappeard again",0
"5911"," hows your day been so farbra shizzle didnt now u were online lol goo thank u and u",0
"5912"," howz u doinbra emz good bout to head out the door soon going to work then ill be on later",0
"5913"," httphealthyahoonetexpertseatthiscookyourwayflatbellybra lmao thats a lie i hope its not though lol",0
"5914"," httpihatejadecomidezadswlmkkolsjldoudbra who knows who jade is should i look hmm",0
"5915"," httpwwwdenotedcouk    r r yay money doodles xdbra ahh cool",0
"5916"," httpwwwformspringmespammerbra and i care causeeeee",0
"5917"," httpwwwyoutubecomwatchvwyoegtyobra ill call u superman p",0
"5918"," httpwwwyoutubecomwatchvymovzgampfeatureplaylistamppbcceampplaynextfromplampindexampplaynextbra awww i was already listening to that lol",0
"5919"," httpwwwyoutubecomwatchvvryziqkfuampfeaturerelated another song that reminds me of u dbra i better like it lmao",0
"5920"," httpwwwyoutubecomwatchvloitbsctobra yeah mean to dance to  yeehh boii",0
"5921"," httpwwwyoutubecomwatchvaklucenimampvideoshltusdbra omg lmao u and ur spam",0
"5922"," httpwwwyoutubecomwatchvbmmzjurtjabra thats sum real deep stuff huh",0
"5923"," httpwwwyoutubecomwatchvbznaziezxbbra mean songr r httpwwwyoutubecomwatchvbznaziezxb",0
"5924"," httpwwwyoutubecomwatchvfavupdijvybra is it spam lmao",0
"5925"," httpwwwyoutubecomwatchviompjnsbcampfeatureplaylistamppbcceampplaynextfromplampplaynextampindexbra awww thank you i was looking for it but couldnt find it",0
"5926"," httpwwwyoutubecomwatchvkplmkwidyampfeaturefvwbra lmao thats funni",0
"5927"," httpwwwyoutubecomwatchvozcvnchpubra lmao spam not with spam lol",1
"5928"," httpwwwyoutubecomwatchvtugsllaxkampfeaturepoptusbra lmao ill look later",0
"5929"," hwo is ubra emz good how emz you",0
"5930"," hwo these peeps find you lolbra hhmm i get your traffic mate hehe",0
"5931"," i added you in yahoo answers too  so you better accept xd  do you hang in yahoo answers much   and if you do  where do you hang out   pamps is my retardedness heaven xd bra yeh i got your demanding email this morning lmfao ahaha yes pamps is my secret love affair lol",0
"5932"," i am bored cuz im waiting for him to get off work bra aww aint he done yet",0
"5933"," i am going to move theretelll me about eh insurancebra yay i bet u wont but insurance wat u wana no bout it lol private health insurance get take out of ur nominated account if u want it like that u choose what kinda cover u want or u can go on the medicare plan or u can have both i dont know the difference except medicare is free",0
"5934"," i am sad toobra why are you sad im the sad one",0
"5935"," i bet i can can ask you more question than you can me what do you thinkbra lol try it ill race you",0
"5936"," i bet if i were more sexier than mrflinstone you and i would have changed phone numbers huhbra so you think mistas sexy as well huh",0
"5937"," i bet you can guess what time it is over here right now can youbra well i know that in san franfrisco dd its pm and in canada its pm d",0
"5938"," i bring my itouch as back upbra lmao u dork",0
"5939"," i came online at   where were ubra im here but your not are you ok",0
"5940"," i can ask many more do you wanna hearaposembra lol go ahead",0
"5941"," i can run faster then that carbra what the sx haha wat a joke",0
"5942"," i can thinkg of questionlolbra yay ill spam u soon cause im good like that hey u home now right",0
"5943"," i canapost think of anymore aposs im done lol but i do have an idea how about you go do some work and stop faposing around on the computer lmao nah jk do yerr thing love have a good day at workbra lmfao brian shup would you u dont mean that i know lol your funny and yeah ill try have a good day will c thanks for asking cause i still aint answerd your yesterdays questions lol",0
"5944"," i cant live with out u in my lifebra im not going no where i told you",0
"5945"," i care alot for your well beingbra i know you you",0
"5946"," i chose the first choicefrom your statement up on topbra cant member",0
"5947"," i collected to most amzing figs today in my friends back yardbra lmao whatd you get",0
"5948"," i could really use a nice   right nowbra soak in the hot tub",0
"5949"," i did have vodka todaybra u have some for me",0
"5950"," i didnapost go salsa world music hugh mix also big fightbra aw no wat happen",0
"5951"," i didnt have a good work outcuz my time was cut shortbra awww no so moodyness tonight betah not be ill be mad",0
"5952"," i didnt hear from uso i guess u busy wit zooits k thoughno worriesbra i logd out trebla i told you i was going  i didnt respond so i logd out",0
"5953"," i didnt workout again todayim just gonna redo the whole weekrbra omg you better not be moody for real cause ill like slap you through the screen lol",1
"5954"," i dnt want ur wack contactsp and i aint spaming no one i aint that  uch of a geekobra lmfao shup fool i saw u right on top of me lol homo and spam u egg",1
"5955",NA,0
"5956"," i donapost anymorebra wat u mean",0
"5957"," i donapost carew how beautiful you are you are spamaposdhehehebra well thank you once again for the spamledge shays word its been trade marked so dont try and steal it d",1
"5958"," i donapost hate ubra  and im not mad at you either",0
"5959"," i donapost see my spambra yeh i answerd those ones with gmacs ones",0
"5960"," i donapost think being a clean freak counts as a habit lol  i think thataposs a case of ocd oo p lol  do you know anyone with ocd  bra well yes so u have just told me that i have an ocd so then its me all me lol",0
"5961"," i donapost think so do youlolbra ahaha always",0
"5962"," i dont like your biololbra omg y not well i like it n u cant change it lol jeez i dint say n e thing bout ur pik i still smild and went about my as per usual lol the one before dis one lol",0
"5963"," i dont listen wellbra i know i kinda figured that",0
"5964"," i dont want things to endbra its not we still gon be talking",0
"5965"," i drink it straightbra yummm i dont i mix it with lemonade",0
"5966"," i feel like iaposve asked you this already oo  so iaposm going to feel really dumb if i have lol  but  is life really like a box of chocolates   i just like saying that lol bra yes forest gump it isnt lmfao",0
"5967"," i feel out of place iaposm at bar b and there all latinas singing justin bieberbra lmao yeh u told me that how funny and it was a dress up party right lol",0
"5968"," i felt that first shot of patron go through all my muscles lolbra lmao thats gross vodkas on lol",0
"5969"," i found youbra im glad you did lol",0
"5970"," i gonn alook up the mrs family in fiji and oz toobra okies",0
"5971"," i got a rice bike  wanna ridebra i dont like bikes  but i do like rice ",0
"5972"," i got hooked at burrito place too they love an asian speaking spanish to them lol free foodbra lmao awww im hungry come cook for me plz",0
"5973"," i got the name konkie when my little brother and sister were like  and  they couldnapost pronounce my name aposcause it was so long they just called me quotkonkiequotr now my nephew calls me quotkonkarooderquotlolr i have a check i need to cash can you help me outlolbra aww thats sweet lol awww send me that chq how many is that now holy time to go to dubai is it d lmao",0
"5974"," i got to play with an iphone  yesterdaywhen i went to get liqueurbra yeh they crap and u tried to convince me to get one wth lmao still waiting for yours though so when u ready lmao",0
"5975"," i guess ur boi does know bout you im not gone be on here much but you got my number da boys are talkin bout nite ride tomorrow you goinbra no going to nite ride to cold and plus i will be working the next day so no and i need to somw new tyres put on where you guys going anyways",0
"5976"," i guna peeeeeeee my pants cuz ov ubra go wee then sori",0
"5977"," i had a lemon drop for youbra thanks you",0
"5978"," i has fallen for mr flinstonebra aww so sad coz he dont like u  he dates gurls with a personality and an identity hmm hope u didnt hurt urself we u fell d",1
"5979"," i hate idk answers i hate it i hate it stopppppp thatbra lmao idk haha hey iv neva said i dont know to ur questions so stop yelling at me",0
"5980"," i hate yawning    yawwwnnn  bra lolz jezz u brush ur teeth hehe",0
"5981"," i hate your i see that alreadyr you look better than me so i have to hate youbra awwww brandon u hurt my feelings now u hate me  lmao well u think your sexxiia than i but thank you  i think its your turn to spamledge me cause im all outa stuffr r sighr r i guess you took my title away from me for now are we ready for round  of our spamledge",1
"5982"," i have  emails in my accountand i couldnt answer them at workfs was suckybra lucky i deactivated that feature cause they went straight to spam n e ways lol so i got nuff stuff from yahoo answers didnt need fs to add to it lol",0
"5983"," i have  pts till i get to level  on ya  im super happy just wantd ta let ya know dbra congrats i have  or so to get to level ",0
"5984"," i have a check i need to cash can you help me outbra lmao another one im starting to wounder where u getting these million doller checks from now lol",0
"5985"," i have a spammer who sometimes asks really stupid questions  what is the stupidest question youaposve ever been asked   also  whataposs the funniest question youaposve ever been asked   here in formspring  bra aww i ask alot of stoopid ones just look at my questions on ya lol like can you cry under water lol was funny stoopid",0
"5986"," i have answeraposd every question you have askaposd huhbra ok i didnt see them maybe fs hasnt updated",0
"5987"," i have itouch  open  iphone  computer  and programs runningbra omg yeh i cant do that lol i have my cell phone and thats nuff for me lol",0
"5988"," i hope bunz is okbra i know im going to see her wtf thats right",0
"5989"," i hope i slow down fs to show u that i am the reason for ithahahahhahahahhahhhahahhahhahhabra lol well lukie im just answering questions and not asking them lol",0
"5990"," i hope my hugs helped out earlierbra hugs yes they did not frozing no more thats another shay word leave it alone ok",0
"5991"," i hope next time they ask something is not anonymous lolbra some how i dont think thats true but if we turn anon off thenn they will have a problem lol",0
"5992"," i hope u get ur mike soon so i can spank u and talk to u at the same timedbra ill skype u lmao how bout that lmao yeh yeh yeh ill do that today jeez u impatient dont say i dont do nothing for u lmao",0
"5993"," i hope yaaposll a very great nightdaybra thank you i shell be visiting you shortly",0
"5994"," i hope you have a great weekend dbra thank you moo you to",0
"5995"," i hope your weekend went better than mine girly bra yeh lady my weekend was awsum",0
"5996"," i jsut washed mine couple days agobra cool with who how and why lol",0
"5997"," i just got on bra hii dd",0
"5998"," i just got that error message  friggin lets hope that my aposcheatingapos works  uestion  do you have any idea what iaposm talking about when i say my aposcheating waysapos   clicks on send bra shizzle i hate that error thing",0
"5999"," i know  i donapost know what the heck i just didded either lol  iaposm just here to spam the blipp out of your inbox  like iaposll do with sir spectacular soon   sooo  chu doing winks   yeah  i just said that as if i was joey from friends lol bra lmao hes hott lmao yeh i know wat u gone say quot girly you think err one hotquot lol well not really just a few ppl and u know who yes mikes one o lmao anyway homo lover se u in a bit",0
"6000"," i know all her songslol how come u dontbra i dont know cause all her songs are re made thats why lol i know lets get it on now lol",0
"6001"," i know exactly where u aregoogle mapsatellite itbra i know u do like u knew the memorial park u clown lol",0
"6002"," i know it was out of context and im not worried about itbra wow ppl these days  so muj drama lmao",0
"6003"," i knowim seeing aussies all over todaybra must mean something what you think",0
"6004"," i like it tooi thought about that song for a long timewondered about itbra d its awsum right i know you like but u faild to send it to me but thats ok",0
"6005"," i like kids do ubra i like kids yup",0
"6006"," i like kiwisbra no you love kiwis lmao u said so",0
"6007"," i like u g stringbra cool",0
"6008"," i like u g stringbra nicee",0
"6009"," i like your hairbra thank you i like your glasses",0
"6010"," i liked your quote xd  itaposs very true too  do you live by that quote at all   bra i try to d that got sent to me by mista i think its nice something i should live by dd",0
"6011"," i lived in new york for  years amp iaposve been living in massachusetts for a while now this year is going to make it  yearsbra aww cool so you  right",0
"6012"," i looked at the clock now and itaposs  weirdbra o thats so weird always  maybe the batter rees are dead and its set on that lmao",0
"6013"," i love duckits the bestdid you know my dad raised three ducks in our backyard oncebra i hope you didnt eat them ",0
"6014"," i love how everyone noes sprongbob squerr pants pbra lol i named my car spongebob and had bob and patrick sitting on the dash board lol funny",0
"6015"," i love how supportive my friends like u r on here and how i can be so totally quaked on here with u all tnite especially since my bff is going nuts in the background and i dont wana hear her hahhhahahaha so nice huhbra gota love your bffs lol",0
"6016"," i love you forgets to hit anonbra lalu to moo lol",0
"6017"," i love you no homo  see you in like a week  until then miss me like youaposll never see me again d and please stay outta apostroubleapos  you know the kind oc trouble i mean p ciao my no homo lover bra lmao wow clarissas not gona be happy you stole that lol stay outta trouble always am outa trouble and u be good and be safe and you stay out of trouble ok d",0
"6018"," i love you no homo  see you in like a week  until then miss me like youaposll never see me again d and please stay outta apostroubleapos  you know the kind oc trouble i mean p ciao my no homo lover bra miss u always love u no homo and hurry bak lol wait i seee uuuu lmao",0
"6019"," i love you shay d from shay lmaobra lmao i love me to shay from shay",0
"6020"," i love you ubra ess ach aye why is madly inlove why dont ask me i dont even know crzy sexy cool  dd",0
"6021"," i love you i love you i love you i love you i love you i love you bra lmao i love u i love u i loveeeeee uuuuu",0
"6022"," i love youbra i love you as well d",0
"6023"," i mean your ummmbra my um wat choose ur words carefully ",1
"6024"," i meant thishttpwwwyoutubecomwatchvqmrwmefuabra whats that why send that to me",1
"6025"," i meant your ozzie waysbra wth wea u going with dis",0
"6026"," i mish ubra mish u tooz",0
"6027"," i miss you babesbra i missd you too",0
"6028"," i needed something new after facebook thats why i like this site  are you gonna spam me girlbra lol ill spam u yes when i get the chance  im barely here unless will is lol",0
"6029"," i never knew you were essaychayywyy us geeemmayysee on yahoo answers obra lol yes i am lol",0
"6030"," i never want to  bra say goodbye",0
"6031"," i once heard from someone very wise that change is always for the better amp never for the worst do you agree with that statement amp have you heard it beforebra i have herd something similar and i agree",0
"6032"," i only got two handsand trying to txt on phoneand fs too and loli dunnor my hands shakybra lmao u are way to multi talented lol i can only do one at a time and talk on the fone hehe im good like that",0
"6033"," i only say bat tree cuz that is how ozzies say itbra no ill call u and show u its batter ree lmao",0
"6034"," i really should be asking these questions so mistaflintstone donapost see them how can i do thatlolbra write dont post and ill try and not post them lmfao",0
"6035"," i reckon i can beat u in swimingbra i rekon u cant",0
"6036"," i reckon sydny ayebra oii oii oii lol",0
"6037"," i said newer as in  and above lol i was saying aposs because there engines are better and way more fasterbra no u didnt you said dont get the newer mods cause they are crap lol awww i dont know ill look and re visit your page d",0
"6038"," i saw a purple turtle today oo  have you seen anything out of the ordinary lately oo   like  maybe a pink koala o  or  a yellow crocodile oo bra omg no shit i saw a pink dog you know the ones that look like cats hmm what are they friggn called ahhhhhhh thinks chu wa wa hmm dont think thats how u spell but but you catch my drift right lol",0
"6039"," i saw this shop opening up soonquotaustraliaaposs finestgroceries from down undaquotim waiting for it to openbra lol they prolly imported stuff fiji no joke cause we in a drought kinda lol",0
"6040"," i saw todaybra yes what did you see today",0
"6041"," i say hit the clubs xd  and  iaposll answer your questions tomorrow  and what do you mean make sure i ainapost blocked you o  how do i check that oo  i ainapost blocked you lol  youaposre my only kiwi link on here  i need you lmbo bra yay u admitted u need me lol i know fs is gay and im tird jump on seems lik u da only one dat loves me today ",1
"6042"," i spammed it to everyone  thought it was funni when she said not again and quotwas that light green quotbra awww i didnt get it",0
"6043"," i start a fire at my friends place but i didnapost smoke lolbra lmao then u didnt start the first you twisted fire starter lmao",0
"6044"," i still donapost understand why mrflintstone got so angry that i asked for your phone numder pulls out another piece of leadouch do youbra lol no idea i dont think he was angry just testing you thats all lol",0
"6045"," i stoppedits getting to be a habitim stoppingbra stopping what drinking go for you life u only live one time",0
"6046"," i take it you use to kick it at weymouth lol  hang out with the girls maybe  bra ahh not with the gurls although they were there lol",0
"6047"," i talked to her this mornin at about ambra wait boo boo tell me whats going on with her please",1
"6048"," i think i m goinggood nitebra hmm nite",0
"6049"," i think i will go to oz one daybra you should would be fun hehe big miss thang too",0
"6050"," i think im addicted to this site now bra yay i hope you are lol cause im trying to make a come back of the worst spammer on fs lmao your now a victim well when i do get the chance to spam ",0
"6051"," i think im going to fly out to san francisco tomorrow  what do you thinkbra i think you should go what have you got to lose hell be happy if you went with him suprised him in a cute lil outfit p sorry garth lol",0
"6052"," i think taz is to far and coldbra yeh it is cause you out at sea",0
"6053"," i think there is traffic on the tracksbra omg u know last month stoopid ppl were jumping infront of the trains omg that was annoying im like just run themover lol",1
"6054"," i think they are mission figsr or adriadicbra omg you speaking another language",0
"6055"," i think we can work together in solving mysterys lol dont u thinkbra the mystary is now history dd",0
"6056"," i thought i should say hiso hibra awww hey my king   im glad u came by to say hii how are you",0
"6057"," i thought iaposd come by and say  i donapost know why mike thinks iaposm so special  and that you should ask him   because i couldnapost tell you   uestion  are you wilma and is that really fred oo  bra lol thank you for dropping by lol wilma i am and fred he is",0
"6058"," i thought you had a new bf because you and that guy have matching namez zoowill zooshaybra yeh hes mah baby ddd",0
"6059"," i told my friend who went to nicaragua to get me the flor de cana    its rum and i told her to get me teh blue bottle onei think its like  bucks ehre in hte usarbra holy did u drink it or leave it as a display item",0
"6060"," i told will heaposs very lucky bra and im sure he appriciates it thank you ",0
"6061"," i took two shot by myself before i left teh housebra yay one for u and u had one for me right",0
"6062"," i u ubra i u u yes i cheated and i campp so shoot me lol",0
"6063"," i used to have this female coworker who kept tellin ppl in the office that she was guna have sex with me has anyone done this to u like im not even into women i was very grossed out by her saying this to pplbra lol no i never had it done to me at all",0
"6064"," i walked home and it was ambra aww no i woke at  lol",0
"6065"," i wana drive a  bra skyline r again d",0
"6066"," i wana flyyyyyyyy like a  roflbra i wana fly like a martian lol",0
"6067"," i wana get  bra a skyline r sexxii",0
"6068"," i wana get some bra loving from my boii",0
"6069"," i wanna get drunkwhat should i buybra vodka p always does the trick lol",0
"6070"," i wanna marry youbra awww yes i will",0
"6071"," i want some  on the beach right now bra i want some sex on the beach right now",0
"6072"," i was afriad to send iti talked to u about itbra re send it im not posting it",0
"6073"," i was going to scroll your whole page and look for your responses to my questions  but i canapost be assed so iaposm going to aposflukeapos it with what i remember lol  how many of my answers to your questions do you read  bra all of them lol im devoted always lol ehm really the only questions i enjoyed asking i check lol",0
"6074"," i wash my computer monitor once a monthmakes the cars look cleanerbra no thats still dirty you missed a spot",0
"6075"," i wasnt driving todayyay thats why i took two shotsbra thats good to hear",0
"6076"," i went shopping todaybra i know you told me you have fun",0
"6077"," i wish  u were here u would have been just as hammerd as me i bet lolbra  i know me to would have been fun u wouldnt have ended up with that hikie lmao aww",0
"6078"," i wish i had no more pain anymore  like tcell  but it feeds me does it ever feed ubra pain makes you stronger as a person also makes you put alot of barriers up but for the best changes you as a person and helps you see situations from a diff prospective",0
"6079"," i wish they all can be australian girlsbra wish who wea what fill me in",1
"6080"," i wnna go play with my nephewbra aww hes cute kiss his lil eye for me",0
"6081"," i wonapost lecture u on eating cuz i was told about my diet as well iaposm not eating enough and i take in only about  calories when i need about  cal then i burn atleast  cal in my workouts so yeah u might be doing better by not being so activebra lmao wow thats a first i think lol wait i know its coming this is way to good to be true lol",0
"6082"," i work on cars so i say if u get a skyline find one from the aposs stay away from the newer ones there pieces of shitbra wow u know how to kill a gurls dreams now dont you i dont like the look of the s i wanted a  one ",0
"6083"," i would like to say hibra hey kingy how if u ",0
"6084"," i would sufferbut i would sacrafice for your happinessbra sigh we are going to talk about this ok",0
"6085"," i wud like to thank you for the sound advice bout the person who wont leave me alone  i think ur right and i didnt see it that way a person doesnt usually get such good advice on here thank you very much i appreciate itbra your most welcome lady anytime d",0
"6086"," iaposll be in in a bit when mrs done with compu compbra kool kool",0
"6087"," iaposll finish it ozzie ozzie ozzieoi oi oibra i finished it",0
"6088"," iaposll finish spamming you all later have a great day thou byebra thank you ill reture the favour when i answer the rest of my spam from  days ago d",0
"6089"," iaposll have to rethink when iaposm not so sleepy on that last question lolr have a good night err i guess good day where you are though am here not sure how many hours ahead there nightmorningafternoon to yabra lol pm and good luck with that one but its easy so yes get back nite nite",0
"6090"," iaposll teach you how to comet surf  how to metero stunt and how to stack alien money to the perfect height if you want like the marsianaposs do uihjhfjhdjdfhierrinbhkdaaaa that means get like me in marsian ahahahhaha lmao im a fukin dorkbra lmfao i agree you a dork",0
"6091"," iaposm about to make me a milo xd  does australia have milo   as a child i use to eat milo straight from the tin  ever eat it straight from the tin  bra yes we have milo here dd s yes i have eaten it from the tin i put it in the biggest glass i could find and fill the milo to the top and watch what now lol",0
"6092"," iaposm answering all your qsbra ill ba u then lol",0
"6093"," iaposm buzzedbra wish i was to",0
"6094"," iaposm coming over to prove who makes my bed rock bra lol see u soon cartoon p",0
"6095"," iaposm going to poke your eyeballs out  do you want to know why   too bad  iaposm not telling you p bra lmao u need anger management classes my lady d i tell u that err night u go to pick up a shoe throw rocks and pots and pans lmao hides u violent lol",1
"6096"," iaposm gonna be going away for a few days actually  days can you help me out with a check when i get back next weekbra i know  i got you offline hope u bring me something back d",0
"6097"," iaposm having sangria tapas paella oh mybra is that food omg dont use fancy food words with me lmao",0
"6098"," iaposm in youtube  listening to random songs  what kinda music do you listen to   who are you favourite artists  bra aaradhna awww gurl i have many scribe sumtimes lol smashproof yeh boii j williams yehhh boi and tyson tyler yeh boii pretty muj anyone that produces a nice beat",0
"6099"," iaposm never gonna talk to youbra why not you said u wanted to go so i left you in peace",0
"6100"," iaposm not trying to take zoowill away from you even though i know i would be able to but im not trying to do that i think hes sexy thats allbra lmfao aww thats cute hes has a lil admira well thats ok ladydude oo im sure he can make his own decisions for himself and yes i know hes sexxi d thanks for noticing dd",0
"6101"," iaposm on just slow ebuddy is onbra lol i know ebuddy sux today i couldnt get on by cell either lol",0
"6102"," iaposm out downtown shopping be back latazbra ok well im not here for long im answering a few and im out",0
"6103"," iaposm picking out lead from my zz because i asked you for your phone number any suggestionsbra ahahahaha well lets see what mista has to say about that one lol",0
"6104"," iaposm sitting here eating coconut clusters  thataposs just coconut rough chocolate in little round pieces lol  do you eat chocolate   do you have a favourite if you do  bra almond gold are the bestest cadbury roasted almonds",0
"6105"," iaposm sitting here eating sour lollipops  i love sour lollies  all sour lollies xd  do you have a favourite lolly and flavour  bra hmm im not really a lollie eater i love chocolate what gurl dont i say but jaffers are still my number one and peanut slabs",0
"6106"," iaposm there and herebra im here now im trying to work but i cant  motivation please",0
"6107"," iaposve got a whopping great penis  can i put it inside of youbra wheres my bodyguards when i need them lol",1
"6108"," ibra u",0
"6109"," ice cream or smoothies  yumm d bra smoothy d",0
"6110"," id get teh hang of it in a few days i reckoni did it in ha va eebra where is that sounds sooo fimiliar",1
"6111"," idk why i asked that last question anon lolbra cause ur a geek lol",0
"6112"," if a child likes golf do you think itaposll ever be interestinguabra just a faze for sum career for others",0
"6113"," if a person has aids and they got bit by a poisonous snake and the police or emtaposs canapost get to them on time amp your the only person with them what do you dodo you suck out the venom or let them diebra no theres first aid for that stuff like wrapping a bandage or something around the outside of the bite to stop the venom from spreading through out the body",0
"6114"," if all of a sudden u got a knock at ur door  u opened it  there was a box  u opened it   red roses lay inside no card who sent it to youbra hopefully my baby boii if not the aircon man lol",0
"6115"," if barbie is so popular why do you have to buy all of her friendsa taste of your own medicine pbra hmm let me go ask barbie ill be right back lol",0
"6116"," if chance was like a picture would you take it or have someone take it for youbra id take the chance if it ever popd up",0
"6117"," if i asked you to dinner where would you want to gobra rashays nothing to over the top",0
"6118"," if i bought you a plane ticket to dubai would you gorbra i couldnt accept anything from anyone else but id go with you if you wanted to go",0
"6119"," if i died tomorrow  would you carebra i would care cause im caring like that",0
"6120"," if i died would you be sadbra i would be cause you are apart of my life now",0
"6121"," if i had to go for  yrs would u wait for mebra yeah love is patience right ",0
"6122"," if i hate you would that make you sadbra itll make me sad but the worlds full of hate so i should be used to it right",0
"6123"," if i keep asking you not goingbra lmao i know lol u geek",1
"6124"," if i lend you my sports car and you put a dent in it would you bring it back or leave it somewhere and have someone call me and tell me where it isbra id call the cops and report it stolen p",0
"6125"," if i let u come over tnite  wadda ya wana dobra play wii but ill prolly fall asleep cause id be tired lol",0
"6126"," if i love you would that make you happybra love is always a happy thing so yes i will be happy ",0
"6127"," if i stopped talking to you would you carebra of course i would what would be ur reason for not wanting to talk no more",0
"6128"," if i stopped talking to you would you carebra yes i would care why wouldnt i",0
"6129"," if i stopped talking to you would you miss mebra yes i would miss the deep convos and the music p",0
"6130"," if i told you that you had a nice body would you hold it against my lmao iaposm a fuckin dork pardon the swag lolbra lmao i know that one link me haha",0
"6131"," if i turned up on your doorstep  dressed as po from the teletubbies  and asked you to dance with me  would you xd  bra lmfao i wana be lala shes sooo cute pos kinda scary dont you think lol",0
"6132"," if i were to ask you to a nice dinner what would you saybra friendly yes",0
"6133"," if it was totally pitch black dark and u n me were together wud u want to cop a feel roflbra ahh no id rather not i dont bat for that team ",0
"6134"," if life dealt u a deck of cardsiaposd pick the ueen of heartsbra awww your really sweet",0
"6135"," if looks could give you aids would you make everybody blindbra probably lol",1
"6136"," if someone asked you to give them a dose what would you give them a dose oflol be creativebra a dose of shayzzie and ull be hooked lol omg my cockyness i wounder where i got that from lmao",0
"6137"," if someone dropped a wallet that had  credit cards and a drivers license what would you dobra hand it in cause im honest like that p",0
"6138"," if someone gave a blow up doll and boxer shorts with a bigggg plastic bum on the back  what wud u say do with thembra id laugh and do nothing with them",0
"6139"," if someone gave you a lifetime to change your life amp approve it would you take that chancebra no i wouldnt it took lots to get to where i am at now and i wouldnt change it for nothing",0
"6140"," if someone knew ur darkest secrets  how wud u feel explainbra well it wouldnt be my darkest if anyone knew about it",0
"6141"," if someone really hurt u but begged ur forgiveness n really meant it wud u forgive them how bout forgetbra id forgive but wont forget it",0
"6142"," if the shays dnt get me firstpbra shays already got u d",0
"6143"," if u atewhat food would u like to havebra what you mean if i ate lmao duck braised sweet sour duck",0
"6144"," if u came to the usa and was only offered maccaswould ubra not the whole time i was there id be sick",0
"6145"," if u continually ignore n hate a person n do everything in ur power to stay away from them why do some ppl continually harrass and try n see u or get in touch with u what is it in their brain that makes them do this pls explain i really wana knowbra well maybe that person needs closure as to why they want to talk to you or see you maybe they have things that want to say to you but you keep avoiding the situation so they will continue to bug till you give them that time to explain or ask you why or how or somethingbut you also have to be in a state of mind where you willing to listen and to be open with the person as well so i think its just closure",0
"6146"," if u cud roll in anything  what wud it be money food water gum whatbra water just cause id be in the mood to ",0
"6147"," if u had a best friend who said really insane things and u worried bout her and her thoughts  what u do like if ur friend said she wished her mom deadbra id talk to her try help her see the better side of her problems ",0
"6148"," if u liked someone but thought they drank too much wud u cool it or whatbra drink to be social drinking is a issue with sum guys some can be happy some can be jerk offs but either way its not a healthy start to the relationship ",0
"6149"," if u lost weight not on purpose becuz ur stomach just cant handle food anymore  wud u be worried what cud be wrongbra yeah i get that way i cant eat or the sight of food makes me sik i dont know no appitite or worms i know i dont got worms but yeh",0
"6150"," if u were guna have a baby  what wud u be lookin forward to  a girl or a boy why dont say either  just pick onebra i think girls are alot of fun and joy can do alot of girly things with them more helpful around the house",0
"6151"," if u were married n ur mate wantd to go somewhere but u thought it wud be unsafe  what wud u do explainbra i would go anyway i doubt id pass up an offer to go away or an oppotunity to spend time with himher",0
"6152"," if u were out of it and someone took u home n started to try n undress u and u fought them off  what wud u think the next mornng that they were trying to do to u please explainbra well id hope it was my boyfriend that brought me home and tried to undress me cause hed know that i dont sleep without clothes or something i would think hes helping me do something im incapable of doing",0
"6153"," if u won a pony  what wud u name it what color wud u like it to bebra black and his name will be stud muffin dd",0
