"","Post_Ques","Post_Ans","Average_Severity"
"8860","do you like to stop and smell the roses ","i dont really see roses  except for in my garden  and no  i dont because i get paranoid i will snort up a bee  lol",0
"8861","do you like to swim","i do d but i prefer private pools rather than public ones im not really a fan of swimming in the sea because im always afraid a crab will grab my feet lol",0
"8862","do you like to try out new things","it depends what those new things are  but sure ",1
"8863","do you like toppings on your pizza","oh yeah definitely i am more a fan of the traditional ones though for example  cheese  or cheese and ham  chicken and sweetcorn i cannot stand spicy foods  of any sort  so anything spicy on a pizza and i wont eat any of it ",0
"8864","do you like turtles","turtles are the cutest things ever dont you think d",0
"8865","do you like uggs do you own uggs ","i actually do yes  they are like slippers only for outside d its funny you said that because i have a pair on right now  only because i managed to drip all over my slippers when i got out of the shower  and they need to dry off ",0
"8866","do you like wearing clothes its an honest question  some people do not","yes lol i like the comfort that clothes give you  they make you warm and cosy who can argue with that ",0
"8867","do you like your handwriting","i do  but only when i concentrate on it if i scribble something quickly  then it ends up looking a mess when i am doing a piece of writing  i tend to start off neatly  and as i get more into it  i write quicker  and it starts to turn to scribbling p",0
"8868","do you like your independence or do you want to have the big wedding  wife  puppy and kids","i like a little of both if im honest more than anything  i want to be happy  and i think lovefamily makes up a big part of that so  i definitely want the big family thing  but i would still want a little independance from it if that makes sense only in the case  to spend it away from the kids and with the one that i loved ",0
"8869","do you like your last name","i actually do quite like my last name yeah do you like it i have to be honest  and say i have never really thought about it but still  thinking now  yeah i do  its short and straight to the point lol i like your name its so cute ",0
"8870","do you like your laugh","i think my laugh could be a lot worse p i dont really have a stand out laugh at all really  i sometimes can giggle pretty funny but i havent had any comments on it either so thats probably a good thing ",0
"8871","do you love massages","i do  who doesnt love a massage d but only from my girlfriend if i had one  i would find it awkward going to a salon or whatever lol",0
"8872","do you love me  ","i love you ",0
"8873","do you love someone  other than family","i love a lot of people  but i take it you mean romantically then no  unfortunately ",1
"8874","do you love someone","i love lots of people   what can i sayyyy  im a very loving person ",0
"8875","do you love the brizzle","i love the brizzle the question is  do you",0
"8876","do you miss someone a lot right now","i do  but i think its going down  like how much i miss them which is a good thing d",0
"8877","do you need a wee","no  thanks im cool ",0
"8878","do you need music to help you sleep","actually i prefer not to listen to music when i sleep  only because then i get songs stuck in my head  then i cant sleep ",0
"8879","do you need to know everything about someoneus past","no  because what is in the past  is the past the future is what involves you however  somethings eg serial murders  or excessive cheating in a partners sense would be hard to over look it completely depends on what that person has done and whether i personally can overlook it",0
"8880","do you own a vibrating toy ","its big and pink and fluffy   haha",1
"8881","do you paint or sketch ","sketching is my life lol and painting  yes i do  there are some random sketches on my twitpic account if you are interested ",0
"8882","do you prefer blondes or brunettes and why","i would say it doesnt make a difference really i prefer blonde hair  looks wise  but i dont think the colour of someones hair makes who they are its their personality that i would look for ",0
"8883","do you prefer hugs or kisses","hmmm  i think hugs  i love hugs especially from the behind when someone wraps their arms aroung you  there is someone in work who always does it  and it makes me melt  i obviously like kisses too  hmmm  can i say both d be greedy d",0
"8884","do you prefer younger girls or olderin terms of a relationship  that is  hahado you have a preference just seeing if i stand any sort of chance  haha slightly kidding","hahaha and who is wanting to stand a chance  ages really doenst actually matter to me i mean  it does to an extent  i wouldnt date an old person oh god  that sounds terrible even to say s but i dont think of someone and whether their age is suitable  if i was to choose  i would say older  mainly because i would prefer someone more mature not in the scary old sense lol but it completely depends on that person  i wouldnt rule someone out just because of their age  i would look for personality  above looks does that answer the question ",0
"8885","do you read skins fanfiction","of course skins isnt long enough  so we need to prolong it somehow ",0
"8886","do you read smut fanfic bahahah","hell yeah nothing like a bit of smut before bedtime  haha",0
"8887","do you really think id make such an obvious typor r caps","youre special anything is possible when someone is special ",1
"8888","do you regret anything","too many things if i could go back and change things in my past  i would  and i would probably be a completely different person for it but there is no point in dwelling right i think i turned out reasonably okay ",0
"8889","do you ship any random people","i guess but none right now ",0
"8890","do you ship anyone from leicester","everyone from leicester is onit for everyone it clouds my judgement  so yes  i ship you all with all all how entertaining p",0
"8891","do you ship kexy","it has a certain ring to it  lol",0
"8892","do you ship real people","oh hell yeah real people just extend our shipping abilities ",0
"8893","do you smoke","oh god no i cant stand smoking the smell of it  the taste of itits a no no how about you",0
"8894","do you snore or steal the covers or roll around in your sleep","i dont know lol its been a while since anyone has been able to let me know i dont think i snore though  because i have been on holiday with family  and no one complained about any snoring  only from my father  but i think thats just dads in general p",0
"8895","do you sometimes feel like an attention seeker","sometimes i guess  but isnt everyone if i do  i always have a valid reason ",0
"8896","do you still have tonsils","haha its funny you asked that actually i do yes  and when i was at the lady gaga gig  there was a curtain that came down in front of the stage  and video was projected onto the curtain because i was right at the front  i was looking directly up to it  and when i started screaming  i could feel my tonsils vibrating in the back of my throat lol i thought i was swallowing them hahaha not a nice feeling s",0
"8897","do you stroke your pussyr r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r cat","i think there needs to be some age ratings on these questions whos with me",1
"8898","do you take long or short showers","long showers i dont know how its possible to take a short shower lol the hot water and steam mmmmm ",0
"8899","do you take showers in the morning or at night more","i prefer showers at night  okay because it gets me all cosy for bed and stuffffff besides  showers in the morning are usually colddddd ",0
"8900","do you think fairy tales influence our choice of a partner","oh yes definitely well  i know that they make every girl want to have their own price charming the princes in fairytales  dont exist in real life  or at least not very often  so to think the girl always gets the perfect prince isnt a very good representation of real life ",0
"8901","do you think i look cool in this hat","do you ever not look cool is it possible",0
"8902","do you think i look rather sexy pink","no louise change it back ",0
"8903","do you think i look sexy purple","i like yours purple  only because you still look like you louse looked like some random devil being thing ",0
"8904","do you think ill ever get a girlfriend the chances are lessening more and more ","no they arent you perhaps arent looking in the right places  you will find her  she is out there somewhere ",0
"8905","do you think it is possible to ever run out of questions to ask someone p","no p it gets harder  but there are always things to find out perhaps a limit to things you want to know  but hey hoits a challenge p",0
"8906","do you think the family of a murder victim should have any say in what punishment is given to the murderer","well  its hard to say isnt it i mean  heaven forbid i was in that situation  i would want everything shitty to come down on that person  but it still doesnt bring them back does it personally  i would prefer someone to undergo a lifetime of suffering  than any death penalty you know i think that the family shouldnt get a say  but its hard to comment  because i know i would",1
"8907","do you think you are sexy or that you can be sexy at certain times","i dont think im sexy at all lol i dont have very much confidence  and i think the biggest part of being sexy  is exerting a body confidence  i suppose that can change in time  but for the moment no lol",0
"8908","do you think youre immature","i dont think so i think im too immature at times",0
"8909","do you trust easily","i think i trust far too easily it means i tend to get hurt more than people who dont let people in what does it gain you in the end though nothing ",0
"8910","do you use a purse often","well i assume you mean bag because a purse over here  is like a wallet lol in which case  i do yes  sometimes if im just popping out for  minutes or something  then no  but it depends on where i am going and what i need to take ",0
"8911","do you want beef blud","louise louise louiseat least make yourself invisible or whatever fail",1
"8912","do you want children boys girls","yeah i definitely want kids i dont know when or how  obviously it cant be the traditional way but i would only want them when im settled in a steady relationship  with a heathy income  and im able to look after them i have no preference over a girl or a boy  but whenever the time is right  either would be fantastic ",0
"8913","do you wear dresses","i love to wear dresses  indeed i do im more a casual dress person  as in i go out in the day in a dress  rather than dressing up in a really special dress in the evening if that makes sense i still wear dresses in the evening  obviously  but im not one of those people who says im wearing a dress for special occasions only i think i actually wear dresses more than any other item of clothing besides leggings that is  but they usually come together ",0
"8914","do you wear pajamas to places other than at your house","i think i have worn them when i have driven somewhere to pick someone up but i never got out of the car  and i think it was only once thats not too bad right ",0
"8915","do you work or go to schoolcollege","i work at the moment  but i do independent projects on the side i have a place at brighton film school for september  so i will return to education then ",0
"8916","do your scars remind you that the past is real","yes but in an odd sense  they also remind you that you are so fragile and anything can be a turning point in your life  and i dont just mean physically ",0
"8917","does height matter","no  of course not  do you mean with myself or in a partner or friend if im talking partners  then i actually prefer someone who is a shorter than me only because i like to be protective and look after my loved one  so if theyre shorter than me  i can envelope them d lol",0
"8918","does it bother you that a lot of your followers more than likely found your twitter through some skins related tweet you had done at a party or premiere","bother me its how you become a celebrity today  dont do things by yourself  its who you date or marry that make you famous p lol",0
"8919","does love  sex","no the act of sex  in a relationship is a big part of showing your love for someone  its about sharing a connection  you know sex however  isnt love  and anyone who think so  should be shot p",0
"8920","does size matter ","haha  it depends on what you are talking about  lol for some people i suppose it does  but with me  it really doesnt with everything i mean  any certainparts  doesnt matter  height of a partner or friend  doesnt matter  so no size  in anything  i dont give a shit ",0
"8921","dolphin l its all about having a wolf or a lion","dolphins dont kill or eat you ",0
"8922","dont lie you love it","i love the entertainment perhaps not the content",1
"8923","dont you just hate people","only ones that come into my restaurant and end up in the section that im serving  yes",0
"8924","dont you just hate the go compare advert","omg you know when he is looking and singing through the letterbox i think someone should have been the other side of it with a twig that would have gone down nicely with a twig in the eye ",0
"8925","door or window","window  for example  your lover coming in through the window  lol",0
"8926","dream carbikevan","haha your answer to this question made me laugh the car that i really wanted  before i settled with mine was a  dr toyota rav  p in light metallic blue with grey bumpers made me laugh that we wanted the same one lol  so anyway  my dream car  do you mean affordable or in a dream world i will say both  if money wasnt an option  i would probably choose something like a porshe carrera gt cabriolet  only because  but in the real world  i am happy to say i own my dream car d a new beetle cabriolet i have it in light metallic blue and have blue and white flowersbirds down the side if i could change the colour  i would i loveeeeeee the dark metallic navy one  with the cream leather i would actually jizz if i ever bought one like that lol it costed me just over ua  and that was a lot of money for me having just turned   but i saved up and managed to get it  the insurance is a bitch though  but luckily its fairly economical to run  i also really wanted to own a jeep wrangler golden eagle in black  but they came out last year i think  and its far too much money for me to spend on a car besides  they devalue really easily  and rust quite badly ",0
"8927","drugs good  bad  ugly opinions generally please","well if you mean the legal kind  then gooood because they are there to help you  if you mean the illegal kind  not good  although i can see why people give into them unfortunately ",0
"8928","embrace the naughtyness rightr","right",0
"8929","emo its say anything  id say it was closer to indie my love","same thing p lol",0
"8930","eurgh fuck no im not louise eurgh","hahahaha thats defense right there p",0
"8931","even or odd numbers","even at least everyone has a pair ",0
"8932","ever asked a question  then regretted asking it","oh yesssss  especially if its me being a real ass or idiot about something  and i forget to post anonamously lol  fail",1
"8933","ever been cheated on","no  but i have never really been in a serious relationship  so i guess the two dont go together",0
"8934","ever been hit with a golf club","i just loled im worried about you i really am",0
"8935","ever been in a physical fight if yes how many and who were they with","yes  far too many s all with my sister though lol its been uglyyyyyy although  i was at school  and i got into a fight with my best friend over something i cant even remember what is was about no one was hurt  but it involved bottles of fruit juice being trown at each other pretty funny looking back  not at the time seeing as i was a walking insect trap",0
"8936","ever been skinny dipping","not yet no lol",0
"8937","ever been to a circus","i have yeah  a few times actually im not the biggest fan of clowns though so i dont know why ",0
"8938","ever been to horsedog racing","no  but if i did  i would leave with all the dogs and horses under my wing ",0
"8939","ever been to new york city","i have yes   times actually once with friends college and once with my family i enjoyed the first one more  obviously  but i was too young to really go out and enjoy myself  i still am too young to drink over there  but heyyy  im in england i can make up for it here ",0
"8940","ever broken a bone","i dont think i have no  well unless that includes skull lol i broke my skull open once  wasnt pretty ",0
"8941","ever broken a heart","i dont think i have no  but i have been broken in the past  but its all about getting back up again ",0
"8942","ever come close to death","no  i dont think so thank god you",0
"8943","ever danced around the house in your underwear","i cant say that i have no  even if the house was empty  no thanks  i like wearing clothes  lets stick to that ",0
"8944","ever fallen asleep on the floor not while drunk","no lol all the floors in my house apart from the upstairs  but i never really go up there anyway are wooden or tiled  so its not the nicest and most comfortable place to fall asleep s i dont think i have done it while drunk either if im drunk  and i eventually go to bed  i actually have real problems getting to sleep not that i dont anyway lol but i cant switch off  and not because the room is spinning or anything  just cant get to sleep  then i wake up extra early  all in all  pretty sucky p",0
"8945","ever felt that no one relates to you","yes  many times but i think everyone has those feelings the ones where youre like quotis that normalquot  but by saying that  makes you normal  because everyone has their insecurities  its just about opening up about them ",0
"8946","ever golf","no lol crazy golf  hell yeah but not the standard quotlets stand and decide on which direction to hit our ball in before deciding which bag of clubs to usequot type p",0
"8947","ever had a way","no  and i dont intend to p whats the point",0
"8948","ever had a one night stand if so  how many and do you regret any of them","once but i had taken e  and i was a bit out of it i woke up  with a guy shudders next to me  but i dont know what happened hell yes i regret it ",0
"8949","ever had a thai massage","no  any good ",0
"8950","ever had surgery if yes  for what reason","ummm  once i think i was pushed down some concrete steps in my old house by my sister and my skull was cracked open i was only little  and i had to go to hospital and get is stapled back together s",0
"8951","ever have a dirty dreams","perhaps occasionally p involving a certain loveless actress  haha",0
"8952","ever just doubt everything","yes its times when one thing happens  and it causes you to question everything else  kind of like a domino effect thats why its important to trust the right people  and to close up with certain things even though i can never seem to do that ",0
"8953","ever kiss a frog","no  and i cant say i have ever intended to",0
"8954","ever randomly start crying  and you just couldnt control it ","yes  the same with laughter too you dont know why you are laughing  but the more you think about it  the more you laugh its rather funny  to watch and to experience p ever had it",0
"8955","ever run out of things to ask","yes lol  thats normally the point where i stop asking until more things pop back in kind of like eating if you think about it quotim hungry  give me foodi dont want anymore food  stop feeding me im hungry again  feed mequot okay  you get my gist lol",0
"8956","ever seen a therapist","no  but i sometimes think i perhaps should",0
"8957","ever seen the movie quotimagine me and youquot i thought it was adorable","i love it its a perfect example of how people can attract so instantly  or quotfirst lovequot or whatever  cute film",0
"8958","ever used ankle weights theyre odd","haha i have actually  but only randomally strapping them on because they feel weird  then under  seconds later  they are off again thats the extent of my useage random lol",0
"8959","ever wanted to become a tattooist","i would like to be a tattoo designer  thats cool  but never the tattooist i couldnt handle peoples blood on me even if its through gloves lol",0
"8960","ever wonder quothow the hell did i end up herequot","yeah  i have done on occasion usually while drunk or out of it of sorts lol joking  but yeah  i have",0
"8961","evr get a lap dance","haha  i have never had a lap dance no lol i dont actually see the obsession with them if im honest like  if its from a girlfriend  then yeah  obviously  but a randomer in a strip cluberno thanks lol",1
"8962","excluding romantic love  when was the last time you told someone you loved them what about including","ummm  i dont know  i really dont keep track lol im always telling my family that i love them  because i think its very important for someone to be reminded of how they feel  especially seeing as you dont know what can happen from one day to the next  including romantic love  a little while lol",0
"8963","expand of the would you question ","hmmm  its more difficult when answering it isnt it haha would i of course  if you wanted to  indeed d i live to please not like that haha people  so its nice to make others happy d",0
"8964","expand the answer you gave to the question beforetell us more","i am confuseddddd doesnt help that i dont answer them in order does it p",0
"8965","fail lol are you a virgin  questions later lol","ohhhh well vcard was like  quotvalentines cardquot or thats what everyone used as short  then it was virgin card  and i was like quotthe credit cardquot  okay okay okay  got it now lol well  i wish i was does that explain",0
"8966","farting or burping and you must choose one","burping lol thats random p",0
"8967","favorite animal to have as a pet","dolphin d but that would be a taddddd difficult ",0
"8968","favorite animal","ummmm  domestically or in general well i love dolphins  they are just so beautiful and graceful  as for domestically  i actually wasnt a cat person  but i have to say cats now  only because i love mine too much ",0
"8969","favorite brand of chocolate","cadburys  or nestle probably equal ",0
"8970","favorite film","the descent  first one  second doesnt even come into it",0
"8971","favorite food youve made yourself","probablyyyyyy homemade lasagne  i loveeee it and homemade is just bravissimo d",0
"8972","favorite genre of music","ummmm  depends on what mood im in  but i would say rock or acoustic or something  im quite into electronic but i do need to be in a certain mood for that  easy listening stuff would do me ",0
"8973","favorite holiday","i have been on  or want to take the favourite holiday i have taken  would have to be the first time when i went to orlando with my family i was pretty young  about  or something  and well  a kid let loose in orlando causes a riot  lol",0
"8974","favorite kind of flower","lilies d the tiger lily is just  d",0
"8975","favorite month","hmmm  i dont know if i have one  but i have a least favourite month i hate january  only because the hype of christmas is over  and everyone makes so many things about the new year  which usually gets broken within the first week lol besides  this year  january really wasnt a good month  so  best would be  june because its when we get heat hopefullylol",0
"8976","favorite time of day","hmmm  probably now  because my parents have gone to bed  and i can do what i want to without getting moaned at d woop no one needs the moaning p",0
"8977","favorite time of day","probably now  because its when my family go to bed  and i have free reign of the house mwah ha ha ha ha ha",0
"8978","favourite accent","australian  i just love it xd",0
"8979","favourite book do you enjoy reading","i dont actually read all that often  i get distracted easily so my attention span can be short on things unless im really into it  i tend to read informational books though that makes me sound like a geek  but buggar it geeks are in d",0
"8980","favourite colour  in general  or top  favourite colour  to wear  colours in the same piece of jewelry that you think look really good together like green and blue  red and brown  green and brown  etc etc like in the same pendant or something","i didnt really understand most of this question  but i will salvage what i can from it lol favourite colour  i would say blue  favourite colour to wear is probably dark grey only because it goes with my hair amazingly d in jewellery  i would say perhaps dark blue and gold i know blue and yellow technically contrast  but what can i say i love them together d",0
"8981","favourite flavour of crisps","salt n vinegar d although  i have always thought they taste exactly the same as pickled onion hmmm  i could be wrong",0
"8982","favourite language or accent","haha i just saw your answer  way to get on my good side p haha luckily  im british so that works there p well i like american accents in general  i cant really tell the difference between canadian and american  but anyway  i do hateeeee those plastic quotoh my godquot type bimbo accents  they are just damn annoying but my favourite accent  has to be the australian accent d i just love itttt im not a big accent person though  its the person not their voice ",0
"8983","favourite movie","the descent  the first  not the second",0
"8984","favourite pasta dish p","hmmmm  i actually love homemade carbonara d or at least the recipe that i found for it its gorgeous ",0
"8985","favourite planet","ermmmm  obviously earth  because without earth  i wouldnt even be born  wouldnt have formspring  wouldnt have this question  and life would be boring",0
"8986","favourite song","at the moment  ellie goulding starry eyed jackwob remix",0
"8987","favourite type of ice cream","mint chocolate chip  unless its ben amp jerrys  any flavour of ben and jerrys would suit me amazingly d and im not even an icecream person d",0
"8988","fight for the one or settle for someone amazing","hmmm  well the one may not actually be the one you know i think everyone should fight for the right person  but it depends on how that effects that other person too for example  say the one was someone that perhaps didnt feel the same or didnt treat you how you deserved to be treated  then i would settle for someone amazing  because in turn  that could be the one its all about giving them a chance ",0
"8989","finish this sentence in at least another sentence  once upon a time there was a boy named joel and a girl named jane","joel was the local milkman  and jane was his friendly cactus",0
"8990","fire or electric heater im curious so im recycling your questions reducereuserecycle  right haha ","hmm  well considering electric heaters are portable  i would say electric heaters they go right to the source of nonheat p lol fires are cosier though  and they do look a lot nicer so it depends on how cold i actually am  and where abouts i am sat ",0
"8991","first thing you will save in a fire","probably photos or things with sentimental value apart from animals and people lol",0
"8992","first word to come to mind when i say the following word  banana","yellow",0
"8993","flowers or candyas a present","candy  because then you can share it with the giver ",0
"8994","fluff or smut and yes  you have to pick one  haha","haha in real life or in fanfiction lol well in fanfiction  fluff  especially when its all romantic and cute to read  because like you said  that can lead to smut too haha as for real life  i would probably say fluff again  im more a fan of cute moments thanother moments  haha",0
"8995","focus more  on your own stuff like be busy by yourself or more focused on whats going on with other people","oh other people definitely i like to help people out partially because it distracts me from my own shit p",0
"8996","for the record i love louise rawlings","thats nice  share the love perhaps by yourself oo",0
"8997","france or italy visit","well i have visited france many times  and i didnt really love it s so i would say italy  perhaps you can show me sometime ",0
"8998","french or italian language","i have never heard italian  but i do like french you speak italian right i think you should make a video of you saying it  i think you are the onlyyyyyy person who is able to deter me from my love of french p",0
"8999","french or spanish cuisine language","ummmmmmm  spanish language food wise  i hate the french food  well savory things anyway s eughhh they eat weird stuff so i suppose spanish savory things i do like the spanish language though  its rather sexy ",0
"9000","fruits or vegetables","fruits  especially pineapple yummmmmmy d",0
"9001","fuck off taylor swift all the waaay","nahhhhh to be fair  she cant sing that well she has a nice voice for the songs she sings  but there again  she is written them based on her voiced i dont think louise would agree with you there ",0
"9002","generally  in life  what makes you happy","when i see that others are happy orrrrrr  if i do something for someone  and i see it is really appreciated  that is one of the best feelings you can have d i like to do things for other people  and its not generally returned  but still  i do love the feeling of giving ",0
"9003","get to know  brup brup  le","i thought it was quotbrap brapquot",0
"9004","give me drum lessons ","sure thannnnng ",0
"9005","give or receive ","a nice balance of both  but i must admit  i am a very generous and giving personwork it out ",0
"9006","going a bit crazy probly bc i havent spoken to you since last night ","awwwww  now you know how i feel when you are at school p soooo  i think  how about i quit my job  and you quit school they we wouldnt be crazy and everyone stays sane poor and dumb  but at least we are sane and have each other  ha",0
"9007","gold or blue","well  in a jewellery sense  gold lol",0
"9008","gold or silver","hmmm  how about both together d",0
"9009","good night  you sexy beast you  rawrrrr","hahahahaha thanks o  o good niiiiiiight growls back in a sexy tone lol",0
"9010","good old jc","old is definitely accurate p",0
"9011","goodnight dream sweet dreams ","you toooooo when you go to bed that is im actually going now  so i will speak to you tomorrow night  i will miss you until then  sleep well gorgeous ",0
"9012","greys anatomy is amazingggggg d almost as amazing as skins ","hmmmmmm  now i know this is from one of two people is that you tori i think im correct d howdy i have never properly watched it  but i probs will one day  any episodes i should skip to",0
"9013","ground or chair to sit on","hmmm  is the ground dirty then chair  unless there is something i can sit on  then that or if im wearing a skirt or dress  nahhh  still chair  im classy like that ",0
"9014","haha  yea i think its more that have a fairly dirty mind in general but i express it more online if people knew what i was thinking half the time oh god lets not go there i feel like quite the perv tonight  sorry  haha","oh nooooooo i think you should develop that a bit more p carry onwhat you were thinking half the time ",0
"9015","haha  yes  no idea how that happened but yes  its not impossible that u may hav come across some of my stuff im a majorangst writer i wrote emily on top of a roof before skins even thought of it p  ooh film  interesting excited","haha im more of a fluff lover p but angst can be a massive importance in all that fluff creation lol actually nahhh  angst is good too i like fics where naomily wise they get together in the story rather than being in a relationship i think most relationships are best in the discovery period  if that makes sense  film ohhh yeah im excited its gonna be scary  but im sure i will get used to it d",0
"9016","haha alohawell im starting from the beginning so ill let you know when i get fartherumm the first season was really good tho and quite funny but the second season is a bit more dramaticthink i liked the first season morehow was your day d","im guessing thats quotalohaquot hello  and not the goodbye in which case i will continue so its a bit like skins then getting to know the characters  then into the second season  create a whole load of angst  my day  well started off nicely lol did some odd random creative things today  but had an argument with my dad which put me in a really bad mood lol im okay now  you guys have sparked me out of it  sooooo  thank you d how have you been ",0
"9017","haha callie quotyou cant pray away the gayquot best quote ever or what hahaha  i love her d","oh  i have heard that line before cant remember where  probably the show itself ",1
"9018","haha do you live near a park we could walk to the park im at my dads house so we could walk to the beach which do you prefer  park or beach in general","ummmmm  i cant even think where i do live at the moment s ummmmmmmmmm  oh i remember i do live sort of near a park  but its really scary at night best avoid i have an idea  i have a giant trampoline outside in my garden how about i pull out the heat lamp thing from the garage  but it over the trampoline  and we can sit on there and chat looking up at the sky orrrrr beach works nicely too d i think i prefer the beach  but i dont love them in the day i like nice walks along the beach during sunset  thats lush but im not a big fan of sunbathing  its just boring s lol",0
"9019","haha how could i possibly make you have a really good laugh  when i cant remember that last really good laugh i had either p this is just sad "," well we shall both keep an eye out  if anything makes either of us laugh  post it on here  cool d hug ",0
"9020","haha i had several imaginary friendsthey were just more extensions of my weirdness i loved them  but im pretty sure you didnt miss too much  after a while we all went our separate wayshaha p","awwwwwwwwwnever to be seen again the end sad times i hope they are doing well in life ",0
"9021","haha i like comfortable clothes i loveneed highheelsbut i dont own many  i need the height  haha   and the heels dont seem to bother mei like earthy tones  but i dont own manyor anyi like jeans anything  so what are your ideas for me","hmmmm  well lets think for day wear  how about something like this httpwwwpolyvorecomnowfeeloverwhelmedyousetid it has earthy tones  but its well balanced plus its very casual quite comfortable it you still wanted to stay very girly  and for a warm summer evening bbq lets say something like this httpwwwpolyvorecomrunningawayfromyousetid or this httpwwwpolyvorecomsweetmemoriessetid for an evening look  perhaps dinner out or an evening at the pub maybe a punked up and spicier look httpwwwpolyvorecombabyyourocksetid perhaps going out to a club scene or something a bit more dressed up  a black ensemble httpwwwpolyvorecombeznaslovasetid and because i know you like jeans  how about a comfortable warmer option  httpwwwpolyvorecomlovethisjeanssetid what do you think of the sorts of things so far quiet varied  but it can express personality or mooooood  ",0
"9022","haha i love being hugged from behind i melt too p nobody does it tho so i must live without it "," i would  its odd how such small things like that can feel so warming isnt it d",0
"9023","haha i think you might be right  too damn special indeed  ill keep you posted","okay  lets clear up  special males me seem  special  im not just so as we are sure p",1
"9024","haha i think you should tell me exactly where your imagination is going with this just curious  i have a feeling it might be better than some fanfics ive read  haha if its anything like my dream is would bejust saying","well  personally i think you should tell me where you think my imagination should be going  i dont have much to go by  so you say better than some fanfics you have read and you are a smut liker yessssss hmmmmm explodes imagination  lol",0
"9025","haha i would love to be yourssss ill be your own doll p haha i got a tshirt today that says i love european accents  just thought you should knowhaha so  ill come to visit youand you can hold me hostage so i dont have to go back sound good","well  that may sound a tad good  lol european accents huh wellllll  any in particular p lol you can be my manequin then what kind of things do you like or inspire to like colours styles fits dressers skirts jeans leggings just so i can start planning  ",0
"9026","haha im not as funny as i think i am p","i think youre funny  no one elses opinions matter  only yoursssss d",0
"9027","haha im sorry about your formspringtwitter addiction totally my fault p mwahaha im diabolical that way  haha pdi dont like clowns either i like acrobats and elephants d","haha nahh  its a good addiction  you keep my mind off of other things  and thats a gooooood thing d so  please continue raping my formspring and twitter wall p lol i think they have gotten rid of elephants in circus havent they im glad  they deserve to be freeeeeeeee",0
"9028","haha im such a klutz ","are you actually accident prone or just in the dream p",0
"9029","haha maybe i should try to contain my dirtier side what do you think do i have problems its a turn off isnt it sorry","no  you shouldnt  no and no enough said ",1
"9030","haha spoonerism or marrowsky is the reversal of letters in words its a speech impediment like saying a blushing crow instead of a crushing blow its rather annoying i have itlike barely but it still happens its kind of funny sometime p","ohhhhhh got it i do that at times  only when i dont concentrate or something i think its actually funny i wouldnt call it an inpediment but thats just me probably because i do it anywayyyyi think its funny its cute you do it and can at least laugh at yourself ",0
"9031","haha sure you can just let me think of some new questionshmmm","you disappeared last night missy p i was dming you  tweeting you and formspringing you  and you disappeared  anywayyyyy  youre in your sats right now  hopefully writing away d",0
"9032","haha thanks and i lovedddddddddd reading your life story it was truly fascinating and you sound like quite the student  and im happy to be considered a friend  gotta love making friends righthaha any plans for the future something u rly wnt to do","you loved reading it pshhh  was boring p lol i think both of ours were a bit depressing  but thats the things that stick out most in life  so automatically we remember the sad things over the happier things its how our minds work  hmmm  future plans well apart from wanting a family  and to be happily in love with a successful home and car etc etc as for career plans  my ultimate goal would be to direct independent horror films  i love how some of them can contain so much art visually as they can video when i say independent  i mean things like quotthe descentquot  quotjeepers creepersquot  quot days laterquot etc etc im not so much into big budget epic hollywood movies  because it takes the essence out of capturing a moving image on film they rely too much on special effects nowadays  and i prefer the retro approach to film making ",0
"9033","haha well in most fanfics emily turns out to have quite the dirty mind  haha then again idk how much fanfic you read and if its smutty fanfic and yea i feel like i act way more dirty minded online than i am in real lifeway more ","oh i can relate to that in person  i think you need more confidence lol i used to read loads of fanfic  and i will admit  i do like to read a nice balance of fluff and smut p god who came up with these words haha  epic  im sure we could work out a balance in real life ",0
"9034","haha yea we just finished learning about edgar allan poe a week or  ago now that is some twisted shit  he wrote a story on how a man tortued this cat in great detail and how a guy killed this guy bc of his eye disturbing ","wtf really that is some disturbing stufffffff what do they teach you i think you should come here and study at an english college just saying ",0
"9035","haha yes  sorry i wish i was familiar with the place and is it so good that you want to stay there didnt mean to sound creepy there","haha  no it wasnt creepy  i just didnt understand the question well  i do like bristol  and it is definitely a good place to go out in  but i will be leaving in about  months to go to film school in brighton about  hours dive away each way  its only a year  but when i come back  depending on how film school goes  i may move  completely depending on how my career goes and what opportunities open up for me  thanks for asking ",0
"9036","haha yes  yes you should be holding me to that  haha do you think you have a dirty mind this was actually a question i wrote down  this morning  to ask you this just seems like the perfect time to ask  haha","ha oh dear godwelli think  if someone doesnt know me very well  then i can come across as very innocent  but once you know me  perhaps not  well  lets just say  i am very similar to emily when it comes to being innocent and if i said  that emily isnt really innocent at all  does that answer your question  lol how about you then perfect time to return the question p",0
"9037","haha youre keeping me from going insane so i think its healthy so you wanted to kiss me blushing why didnt you  haha","hahahaha because i wasnt sure how you would react how would you have reacted p",0
"9038","haha youre pretty awesome","thanks d but for some reason  it wont let me ask any more  probably not so awesome now  i will keep trying ",0
"9039","haha youre pretty funny do people tell you that often","i am well thanks  i dont get told that often  but my humour  its usually stupid humour  so if you find that funny  then cool ",0
"9040","haha now that was a spectacular answer d about me making you feel all warm and fuzzy by being so sweet and i have heard the writer and i love it actually the first time i heard it was like last night haha my friend sent me a vid on youtube","thanks  it makes me cry   also speechless by lady gaga love them ",0
